,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
103093,316921,tt0834989,Nicht von schlechten Eltern,S02E13 Der Spion,1995,49,7.7,11
100720,304566,tt0814802,The 4400,S03E02 Being Tom Baldwin,2006,41,7.4,391
69204,188986,tt0680596,Punky Brewster,S01E16 Henry Falls in Love: Part 2,1985,25,8.4,44
102221,312874,tt0828666,Cardcaptor Sakura,S01E17 Sakura's Scary Courage Test,1998,25,7.2,60
97939,292330,tt0796121,Mama's Family,S05E02 Baby Talk,1988,21,7.2,52
139463,850808,tt10901640,Ink Master,S12E13 Moving Pictures,2019,41,6.6,13
50312,133972,tt0624753,Laramie,S02E20 Riders of the Night,1961,60,8.0,67
145633,982606,tt11186688,Cinemassacre's Monster Madness,S11E17 Monster Brawl (2011),2019,10,7.1,11
40357,103828,tt0594047,Gunsmoke,S04E39 Cheyennes,1959,30,7.7,143
136803,775006,tt10738012,Keeping Up with the Kardashians,S08E15 Baby Shower Blues,2013,41,4.7,27
114490,378732,tt0918209,That Girl,S04E03 My Part Belongs to Daddy,1969,30,6.8,36
74545,203572,tt0695289,Saved by the Bell: The New Class,S04E08 Fall Formal,1996,21,5.2,15
108652,341454,tt0869856,The Undersea World of Jacques Cousteau,\N,1972,60,7.9,10
71930,196357,tt0688020,The Rockford Files,"S06E02 Lions, Tigers, Monkeys and Dogs",1979,96,7.8,274
120394,417227,tt0970795,Alcock and Gander,"S01E06 Artistic Books, Soho, Ltd",1972,24,6.6,6
1325,2098,tt0114532,Ein starkes Team,S01E02 Erbarmungslos,2005,90,4.9,11
115767,386768,tt0929595,Space Academy,S01E06 The Rocks of Janus,1977,22,6.8,14
114884,381118,tt0921257,Highway Patrol,S04E10 Blood Money,1958,30,8.0,80
47804,125418,tt0616018,Jiskefet,S06E19 Debiteuren Crediteuren - 1 april,1995,48,8.9,7
140876,880114,tt10968480,Single Parents,S02E02 Graham Fought the Bones and the Bones Won,2019,21,7.4,147
68621,186561,tt0678131,The Pretender,S01E05 The Paper Clock,1996,47,7.6,180
134687,716117,tt10612102,Australian Survivor,S03E20 Episode #3.20,2018,66,8.3,21
126779,516539,tt1016936,The Many Loves of Dobie Gillis,S02E12 The Day the Teachers Disappeared,1961,26,7.4,24
139684,856198,tt10913310,All the Sins,S02E02 Dig Two Graves,2020,45,7.5,51
38974,99828,tt0590004,Gomer Pyle: USMC,S04E20 Luv Finds Gomer Pyle,1968,30,7.4,56
41824,107218,tt0597648,Have Gun - Will Travel,S03E16 The Prophet,1960,25,7.2,88
37303,94092,tt0584208,Full House,S07E12 Support Your Local Parents,1993,30,6.6,226
71938,196365,tt0688029,The Rockford Files,S06E04 Only Rock 'n Roll Will Never Die: Part 2,1979,60,6.8,209
103493,318327,tt0836957,Lucy: The Daughter of the Devil,"S01E01 He's Not the Messiah, He's a DJ",2005,12,7.0,52
21368,48130,tt0537526,Casualty,S02E15 These Things Happen,1987,50,8.0,17
64923,174627,tt0665903,One Foot in the Grave,S05E05 Hole in the Sky,1995,29,8.1,127
102972,316354,tt0834200,Afterlife,S02E07 Things Forgotten,2006,47,8.5,64
1235,1996,tt0110746,Tatort,S01E298 Ostwأ¤rts,1994,90,5.8,25
108533,340685,tt0868834,Teletubbies,S01E158 Tulips,1998,24,5.2,15
298,659,tt0069367,La porta sul buio,S01E04 Testimone oculare,1973,53,6.1,303
102251,313015,tt0828859,The Millionaire,S06E19 Millionaire Janie Harris,1960,30,7.3,9
12075,24410,tt0513232,Animaniacs,S01E22 Guardin' in the Garden/Plane Pals,1993,30,8.0,167
137803,799712,tt1079276,Teen Wolf,S01E01 Teen Wolf's Family Secret,1986,24,6.4,14
143398,935411,tt11083652,Prodigal Son,S01E18 Scheherazade,2020,44,8.0,651
35376,89855,tt0579927,Flamingo Road,S02E05 The Stranger,1981,60,6.2,12
60271,160274,tt0651308,Mortal Kombat: Conquest,S01E21 Stolen Lies,1999,45,6.3,168
103171,317455,tt0835917,101 Dalmatians: The Series,S01E09 Four Stories Up,1997,22,6.0,44
36925,93479,tt0583591,Friends,S02E23 The One with the Chicken Pox,1996,22,7.9,5105
89094,255818,tt0748427,The Wild Thornberrys,S01E14 Flight of the Donnie,1998,24,7.2,38
50887,138288,tt0629109,Laverne & Shirley,S08E15 The Fashion Show,1983,30,7.5,78
143594,939050,tt11091776,Frontline,S38E03 On the President's Orders,2019,55,7.3,33
71390,194876,tt0686526,"Richie Brockelman, Private Eye",S01E03 A Title on the Door and a Carpet on the Floor,1978,60,6.2,13
121555,424802,tt0980809,Suzuka,S01E25 Sأ´shitsu,2005,25,5.9,10
55800,149620,tt0640552,Mama's Family,S02E03 Country Club,1983,21,8.4,79
142987,926307,tt11064622,Rotten,S02E02 Reign of Terroir,2019,54,6.9,165
65114,175178,tt0666460,One on One,S04E03 Follow That Car,2004,20,6.9,15
69011,188526,tt0680131,Providence,S02E11 The Kiss,2000,42,7.3,24
2034,3138,tt0178158,La piovra,S09E01 The Octopus 9 - The Pact,1998,102,7.8,283
51211,138612,tt0629435,Law & Order,S13E14 Star Crossed,2003,45,7.9,271
134512,711446,tt10601654,Summer Camp Island,S01E38 Twelve Angry Hedgehogs,2019,11,8.1,26
74050,202938,tt0694645,Saturday Night Live,S02E01 Lily Tomlin/James Taylor,1976,90,7.1,146
80090,219176,tt0711089,Strange Report,S01E06 Report 3906: Cover Girls - Last Year's Model,1969,60,7.5,26
101753,310671,tt0824995,I Shouldn't Be Alive,S01E12 Crash in a Volcano,2006,47,8.1,52
27116,67231,tt0556868,Death Valley Days,S01E10 The Rival Hash Houses,1953,25,8.3,32
101534,309517,tt0823074,Noah's Arc,S02E06 Under Pressure,2006,23,7.7,23
54134,145970,tt0636883,Love Hurts,S03E03 The Parent Trap,1994,49,8.7,8
28553,70082,tt0559747,The Dick Van Dyke Show,S05E21 Dear Sally Rogers,1966,30,7.5,221
11910,23957,tt0512775,The Andy Williams Show,S02E01 Episode #2.1,1970,60,9.7,9
93629,270664,tt0766134,Mad About You,"S04E04 The Good, the Bad and the Not-So-Appealing",1995,22,7.5,104
107859,337527,tt0864493,Das Erbe der Guldenburgs,S03E09 Der verlorene Sohn,1990,43,6.8,13
105629,326764,tt0849935,Entourage,S03E13 Less Than 30,2007,26,8.1,1035
24842,62197,tt0551756,Cybill,S03E08 Going to Hell in a Limo: Part 1,1996,28,7.6,97
104534,321293,tt0840859,Gene Simmons: Family Jewels,S01E01 Happily Unmarried,2006,21,7.2,19
147024,1011669,tt11251672,Fresh Off the Boat,S06E12 The Magic Motor Inn,2020,21,7.4,165
139193,842516,tt10884732,Antidisturbios,S01E01 Osorio,2020,45,8.5,303
103436,318137,tt0836748,Aspe,S02E09 Voetbalgeheimen,2006,50,6.6,11
65349,176503,tt0667842,The Outer Limits,S01E06 The Man Who Was Never Born,1963,51,8.1,890
92212,266132,tt0760410,101 Dalmatians: The Series,S01E58 Horace and Jasper's Big Career Move,1998,22,6.0,10
135497,740652,tt10665162,Blown Away,S01E09 Body Parts,2019,23,6.8,88
105010,323533,tt0844574,Life with Derek,"S03E12 Adios, Derek",2007,22,9.1,33
73891,202779,tt0694486,Saturday Night Live,S11E04 John Lithgow/Mr. Mister,1985,90,6.5,64
113722,374895,tt0914006,Boston Blackie,S01E03 Oil Field Murder,1951,30,6.8,13
142857,923166,tt11058506,Bull,S04E04 Her Own Two Feet,2019,42,7.4,253
147760,1027281,tt11286152,Inside Edge,S02E08 Crossing The Line,2019,43,8.2,144
25326,63388,tt0552950,The Daily Show,S08E149 Morgan Spurlock,2004,30,5.9,24
29054,70652,tt0560323,Digimon: Digital Monsters,S03E35 Give a Little Bit,2002,21,8.5,71
54904,147767,tt0638691,MacGyver,S04E05 Collision Course,1988,48,7.2,293
77663,212741,tt0704566,Some Mothers Do 'Ave 'Em,S01E01 The Salesman's Job,1973,30,8.0,165
11318,22461,tt0511257,Amen,S02E05 Thelma's Reunion,1987,22,7.4,20
80191,219604,tt0711519,The Streets of San Francisco,S04E06 Deadly Silence,1975,60,7.6,77
18728,40551,tt0529869,Bonanza,S09E28 To Die in Darkness,1968,60,8.1,104
90836,259499,tt0752141,Young Hercules,S01E05 Girl Trouble,1998,21,6.8,33
2184,3358,tt0191365,Police Call 110,S11E05 Harmloser Anfang,1981,69,6.6,48
58887,157274,tt0648277,Millennium,S01E17 Walkabout,1997,60,7.2,341
90618,258873,tt0751515,Xena: Warrior Princess,S02E01 Orphan of War,1996,45,7.4,523
77077,210359,tt0702177,The Sixth Sense,S02E03 Witness Within,1972,60,6.1,32
76138,208787,tt0700560,Silent Witness,S07E01 Answering Fire: Part 1,2003,120,7.5,166
100387,302692,tt0811848,Doctor Who,S20E15 Terminus: Part Three,1983,25,6.1,373
34241,86904,tt0576939,Family Guy,S02E17 He's Too Sexy for His Fat,2000,23,7.7,2076
35649,90389,tt0580462,Flipper,S03E05 The Warning,1966,30,7.6,22
6792,12815,tt0501387,1st & Ten,S01E05 Play Me or Trade Me,1985,22,6.7,8
126781,516550,tt1016938,The Many Loves of Dobie Gillis,S01E36 The Long Arm of the Law,1960,26,7.5,29
31687,78305,tt0568132,ER,S05E14 The Storm: Part 1,1999,45,8.3,527
133155,676374,tt10525062,Ink Master,S12E03 Down to the Wire,2019,41,7.1,15
123033,435465,tt0994662,Voetbalvrouwen,S01E01 Nieuw begin,2007,44,8.0,6
143541,938359,tt11090114,The Resident,S03E07 Woman Down,2019,44,8.5,338
38065,97322,tt0587483,Get Real,S01E15 Waiting,2000,60,5.1,14
46881,122750,tt0613313,JAG,S06E23 Mutiny,2001,60,6.3,139
21569,49352,tt0538755,Charles in Charge,S03E03 Dorm Warnings,1988,23,8.5,60
18820,40906,tt0530226,Boon,S02E08 Credit Where It's Due,1987,50,7.6,10
1261,2024,tt0111375,Tatort,S01E293 Klassen-Kampf,1994,91,6.3,48
136692,772340,tt1073276,Cops,S20E16 Coast to Coast #8,2008,21,7.8,8
68545,186275,tt0677842,The Practice,S08E18 The Case Against Alan Shore,2004,43,7.9,109
21002,46984,tt0536375,"Car 54, Where Are You?",S01E06 Muldoon's Star,1961,26,7.5,83
110908,354238,tt0887222,Battlestar Galactica,S03E10 The Passage,2006,43,7.5,1747
32475,82275,tt0572218,Star Trek: Enterprise,S03E05 Impulse,2003,43,7.4,1563
10693,21068,tt0509842,All in the Family,S02E13 Christmas Day at the Bunkers',1971,26,8.3,262
71353,194800,tt0686450,"Richard Diamond, Private Detective",S02E20 One Foot in the Grave,1958,30,7.7,14
116607,393688,tt0939002,Dexter's Laboratory,S01E08 Babysitter Blues/The Justice Friends: Valhallen's Room/Dream Machine,1996,23,7.3,171
18411,40233,tt0529551,Bonanza,"S02E33 Elizabeth, My Love",1961,60,7.3,138
6450,11314,tt0490059,Biography,S16E03 Gracie Allen: The Better Half,2002,60,8.1,104
133734,691141,tt10557162,Exhibit A,S01E04 Touch DNA,2019,37,6.6,76
105893,327900,tt0851640,Dragon Ball Z,S01E32 Sentأ´-ryoku 10-bai!! Bejأ®ta dai henshin,1990,25,7.8,1313
80114,219233,tt0711147,Strangers with Candy,S02E02 Behind Blank Eyes,2000,23,8.2,132
109012,343204,tt0872587,The Bill,S11E64 They All Look the Same,1995,25,7.0,27
19529,43209,tt0532550,The Broker's Man,S01E01 Double Dutch: Part One,1997,97,7.4,36
116160,390011,tt0933958,America's Castles,S02E12 The Homes of Frank Lloyd Wright,1996,46,7.0,13
100024,302146,tt0811248,Doctor Who,S12E13 Genesis of the Daleks: Part Three,1975,23,8.8,811
19858,44116,tt0533469,Buffy the Vampire Slayer,S04E08 Pangs,1999,43,8.0,3402
90078,257720,tt0750349,The Wonder Years,S06E18 Poker,1993,24,7.8,279
45365,118622,tt0609138,I Dream of Jeannie,S02E05 My Wild-Eyed Master,1966,25,7.6,221
19138,41594,tt0530920,Boy Meets World,S02E17 On the Air,1995,23,7.7,259
42236,107810,tt0598249,Hawaii Five-O,S11E10 Why Won't Linda Die?,1978,50,5.6,60
44626,114047,tt0604541,Honey West,S01E08 In the Bag,1965,30,7.1,64
106980,332504,tt0857995,Homewrecker,S01E04 Episode #1.4,2005,160,7.0,7
143584,938949,tt1109147,The Joey Bishop Show,S01E05 The Contest Winner,1961,30,7.0,15
137996,806546,tt10808224,Til Death Do Us Part,S01E03 Big Cat,2019,30,5.3,35
122455,431666,tt0990179,One Tree Hill,S04E17 It Gets Worse at Night,2007,43,8.5,383
32060,80174,tt0570016,Ellen,S03E17 Ellen: With Child,1996,23,6.8,78
19609,43290,tt0532631,Bronk,S01E08 Line of Fire,1975,60,9.2,9
16925,36148,tt0525408,The Bill,S15E22 Kiss Chase,1999,50,6.9,28
40110,103190,tt0593403,Groأںstadtrevier,S03E10 Der Blumenhأ¤ndler,1991,50,8.0,14
127191,524686,tt10186820,Parchhayee: Ghost Stories by Ruskin Bond,S01E07 Topaz,2019,40,7.9,19
9035,17803,tt0506445,The Adventures of Sherlock Holmes,S01E01 A Scandal in Bohemia,1984,52,7.9,1427
61042,162515,tt0653568,"Murder, She Wrote",S09E01 Murder in Milan,1992,47,7.3,286
55399,148801,tt0639731,"Magnum, P.I.",S03E21 The Big Blow,1983,48,8.1,335
43879,111663,tt0602153,The Hitchhiker,S02E09 Hired Help,1987,28,6.3,72
59847,159458,tt0650479,Monarch of the Glen,S07E06 Episode #7.6,2005,60,8.5,54
148209,1038984,tt11311556,The Real Housewives of New Jersey,S10E07 The Last Supper,2019,44,7.8,14
37809,96143,tt0586285,General Electric Theater,S03E27 Clown,1955,30,8.1,20
422,871,tt0074171,Black Sheep Squadron,S01E00 Flying Misfits,1976,98,7.6,454
34346,87081,tt0577117,Family Matters,"S05E15 Good Cop, Bad Cop",1994,23,7.9,136
45222,118032,tt0608542,Hunter,S01E11 The Garbage Man,1985,48,7.3,122
28254,69492,tt0559148,Diagnosis Murder,S02E02 A Very Fatal Funeral,1994,45,7.6,81
71218,193990,tt0685636,Return of the Saint,S01E03 Duel in Venice,1978,49,7.6,55
77308,211181,tt0703003,Smallville,S02E14 Rush,2003,43,7.8,1274
18832,40921,tt0530241,Boon,S03E07 Honourable Service,1988,50,6.5,8
9751,19485,tt0508255,Alfred Hitchcock Presents,S07E26 Ten O'Clock Tiger,1962,30,6.4,364
146446,997069,tt11219196,wtFOCK,S02E07 Ik wil gewoon twee seconden alleen zijn,2019,29,9.0,16
36679,92954,tt0583060,The Fresh Prince of Bel-Air,S05E22 To Thine Own Self Be Blue... and Gold,1995,23,7.5,528
65329,176483,tt0667822,The Outer Limits,S01E30 Production and Decay of Strange Particles,1964,51,6.3,459
135943,750826,tt10687730,The Longest Day in Chang'an,S01E23 Vanishing World,2019,45,8.7,7
57206,153135,tt0644094,Matlock,S09E12 The Target,1995,50,7.4,85
82171,225628,tt0717627,The Tall Man,S01E21 The Reversed Blade,1961,30,7.6,9
100745,304682,tt0814920,Love Thy Neighbour,S01E07 Sex Appeal,1972,25,7.5,17
104724,322159,tt0841972,Stingray,S01E38 Marineville Traitor,1965,26,8.1,41
58392,155287,tt0646264,Men Behaving Badly,S01E03 The Bed,1996,23,6.3,57
93385,269764,tt0764397,Everybody Loves Raymond,S05E14 Ray's Journal,2001,30,8.0,440
46968,122839,tt0613403,JAG,S10E19 Two Towns,2005,60,7.6,111
56053,150199,tt0641136,The Man from U.N.C.L.E.,S02E27 The Round Table Affair,1966,60,6.4,84
98154,293323,tt0797601,Planet Earth,S01E03 Fresh Water,2006,49,8.8,3247
141947,902769,tt11015974,My Country: The New Age,S01E16 Episode #1.16,2019,80,8.4,55
76219,208869,tt0700644,Silk Stalkings,S02E20 Giant Steps,1993,47,6.8,25
57719,154010,tt0644980,McLeod's Daughters,S04E29 A McLeod Daughter,2004,42,8.3,79
32999,84270,tt0574260,Everybody Loves Raymond,S05E10 The Sneeze,2000,23,7.4,421
32189,80767,tt0570616,Emergency!,S01E03 Cook's Tour,1972,51,7.7,118
41109,105216,tt0595604,Hamish Macbeth,S01E03 The Big Freeze,1995,49,7.8,140
99742,300960,tt0808828,The Transformers,S03E17 Ghost in the Machine,1986,23,7.5,107
31329,77651,tt0567472,Dynasty,S08E04 The Announcement,1987,48,7.1,56
127,230,tt0059886,The Wednesday Play,"S03E10 VOTE, VOTE, VOTE, for Nigel Barton",1965,80,7.9,80
10036,19899,tt0508670,Alias,S01E08 Time Will Tell,2001,45,7.8,585
39676,102534,tt0592740,Green Acres,S05E12 Oliver and the Cornstalk,1969,30,7.8,74
53438,144588,tt0635496,The Lone Ranger,S04E46 The Return,1955,30,8.6,39
119410,410256,tt0961484,Jayce and the Wheeled Warriors,S01E65 Final Ride at Journey's End,1985,23,6.2,19
94493,275300,tt0771576,The West Wing,S07E22 Tomorrow,2006,42,9.0,994
100569,303711,tt0813154,The New Scooby and Scrappy-Doo Show,S01E01 Scooby the Barbarian/No Sharking Zone,1983,24,7.0,63
69435,189652,tt0681268,Queen of Swords,S01E10 The Serpent,2001,43,8.6,22
21756,49852,tt0539261,Charlie's Angels,S04E22 Three for the Money,1980,49,7.9,193
90240,258428,tt0751065,The X-Files,S03E06 2Shy,1995,45,7.4,4218
147456,1021077,tt1127244,Dirty Sexy Money,S02E02 The Family Lawyer,2008,41,7.2,113
100763,304700,tt0814938,Mortified,S02E11 Rome Wasn't Built in a Day,2007,23,8.6,13
4415,7449,tt0362074,The Real World,S12E29 Las Vegas Reunion,2003,60,3.5,21
110746,353240,tt0885997,Meerkat Manor,S02E05 No Place Like Home,2006,20,8.8,10
39972,103020,tt0593228,Growing Pains,S02E20 Born Free,1987,25,6.9,57
18875,40985,tt0530305,The Boondocks,S01E06 The Story of Gangstalicious,2005,23,8.2,513
91811,264659,tt0758199,Egypt,S01E01 The Search for Tutankhamun,2005,51,7.8,98
104313,320571,tt0839566,Standoff,S01E10 Accidental Negotiator,2006,50,8.3,44
127961,542663,tt1022674,Deadliest Catch,S03E05 Bering Sea Salvation,2007,44,7.4,43
37346,94136,tt0584252,Full House,"S05E21 Yours, Mine and Ours",1992,30,6.8,246
81185,222253,tt0714208,Suspicion,S01E09 The Flight,1957,60,6.6,41
25277,63339,tt0552901,The Daily Show,S08E100 Tyra Banks,2004,30,6.6,26
46048,120406,tt0610951,The Incredible Hulk,S01E01 The Return of the Beast: Part 1,1996,23,6.9,191
91303,262757,tt0755433,c/o Segemyhr,S03E01 Cilla أ¥ker till Norge,1999,24,8.0,8
109077,343396,tt0872781,Dark Shadows,S01E684 Episode #1.684,1969,23,7.6,30
32231,80809,tt0570663,Emergency!,S02E11 Musical Mania,1972,50,8.3,104
99218,298328,tt0804205,Whose Line Is It Anyway?,S03E08 Episode #3.8,1991,25,7.3,12
109277,344528,tt0874023,Have I Got News for You,S32E05 Episode #32.5,2006,29,6.5,14
78223,215025,tt0706866,Spider-Man: The Animated Series,S03E07 Sins of the Fathers Chapter 7: The Man Without Fear,1996,22,8.5,640
26426,65467,tt0555082,Dawson's Creek,S04E17 Admissions,2001,43,7.3,227
31681,78299,tt0568126,ER,S05E10 The Miracle Worker,1998,45,7.9,373
26816,66931,tt0556568,Death Valley Days,S06E01 Gold Rush in Reverse,1957,25,8.1,22
29034,70630,tt0560301,Digimon: Digital Monsters,S03E18 Digital Beauty,2001,22,7.8,68
74502,203523,tt0695240,Saved by the Bell,S03E14 Wicked Stepbrother: Part 2,1991,22,7.7,331
38051,97263,tt0587423,Get Christie Love!,S01E03 Emperor of Death Street,1974,60,7.7,11
86824,250622,tt0743027,Wagon Train,S08E07 The Alice Whitetree Story,1964,60,8.1,60
148426,1043829,tt11322026,Henry Danger,S05E39 The Fate of Danger: Part II,2020,23,8.5,132
109630,346451,tt0876861,The Surreal Life,S03E06 Making the Single: Part A,2004,21,6.0,9
33679,85875,tt0575900,Falcon Crest,S06E28 Desperation,1987,60,8.0,42
108636,341237,tt0869611,Dark Shadows,S01E584 Episode #1.584,1968,21,7.2,32
41236,105525,tt0595939,Hank,S01E26 Operation Matriculation,1966,25,7.6,5
136129,755825,tt1069804,Modern Marvels,S14E21 Saws,2007,44,6.6,14
71368,194816,tt0686466,"Richard Diamond, Private Detective",S02E02 The Dark Horse,1958,30,7.5,18
108151,339196,tt0866922,My Gym Partner's a Monkey,S02E10 Carny Crazy/Up and Adam,2006,22,5.7,10
58904,157361,tt0648365,The Millionaire,S06E30 Millionaire Katherine Boland,1960,30,7.6,18
119572,411395,tt0962936,He-Man and the Masters of the Universe,S02E08 Origin of the Sorceress,1985,22,7.6,107
60401,160755,tt0651794,Mr. & Mrs. North,S01E10 Comic-Strip Tease,1952,26,7.2,24
117285,397621,tt0944352,Dante,"S01E09 My Pal, the Bullseye",1960,30,7.2,7
116280,390999,tt0935596,Jem,S02E16 Trick or Techrat,1987,22,7.2,24
126600,513028,tt10161316,WandaVision,S01E04 We Interrupt This Program,2020,32,8.7,24981
121240,423051,tt0978514,Wolf's Rain,S01E08 Nemuri no Uta,2003,23,7.1,68
140530,870960,tt10948702,Nudes,S01E06 Viktor del tre,2019,19,6.6,12
33561,85498,tt0575513,Faerie Tale Theatre,S04E03 The Pied Piper of Hamelin,1985,47,7.7,122
111811,361581,tt0897111,How I Met Your Mother,S02E12 First Time in New York,2007,23,8.0,3882
84471,240420,tt0732678,The Tracey Ullman Show,S03E05 Episode #3.5,1988,30,8.2,23
15818,33886,tt0523047,Bewitched,S01E29 Abner Kadabra,1965,25,8.8,383
90541,258758,tt0751399,X-Men: Evolution,S02E13 Walk on the Wild Side,2002,22,6.5,193
126776,516522,tt1016933,The Many Loves of Dobie Gillis,S02E35 Take Me to Your Leader,1961,26,7.3,33
3156,5063,tt0267593,Intimate Portrait,\N,1999,60,6.9,135
34823,87786,tt0577830,Fantasy Island,S01E05 The Prince/The Sheriff,1978,60,6.7,122
25635,63716,tt0553280,Dallas,S13E11 Cally on a Hot Tin Roof,1989,48,7.2,85
97877,291928,tt0795614,Big Brother,S04E03 Episode #4.3,2003,43,8.5,56
123421,438150,tt0998768,Mortified,S02E07 First Child in Space,2007,23,8.2,11
62360,165353,tt0656443,NYPD Blue,S01E04 True Confessions,1993,48,8.2,249
85449,243341,tt0735640,UFO,S01E23 The Sound of Silence,1971,48,7.0,150
1648,2576,tt0137120,Die Mأ¤nner vom K3,S03E15 Blutsverwandtschaft,1997,90,5.3,9
48801,129128,tt0619768,Kim Possible,S02E15 A Very Possible Christmas,2003,22,7.9,166
31469,78087,tt0567914,ER,S09E12 A Saint in the City,2003,46,7.4,316
55327,148729,tt0639659,"Magnum, P.I.",S03E11 Heal Thyself,1982,48,7.6,306
98751,296974,tt0802552,"Harvey Birdman, Attorney at Law",S02E01 Blackwatch Plaid,2004,11,7.9,127
45443,118731,tt0609247,I Love Lucy,S02E21 Lucy Changes Her Mind,1953,30,8.5,352
7092,13657,tt0502238,24,S04E06 Day 4: 12:00 p.m.-1:00 p.m.,2005,42,8.6,1240
8906,17674,tt0506316,The Adventures of Robin Hood,S02E39 Carlotta,1957,25,7.6,21
72947,199635,tt0691319,Rugrats,S09E14 Fountain of Youth/Kimi Takes the Cake,2002,23,6.1,77
50789,138190,tt0629011,Laverne & Shirley,S08E12 Defective Ballet,1983,30,7.2,76
114969,381292,tt0921433,The Main Chance,S04E11 Year of the Tiger,1975,52,8.0,15
76681,209491,tt0701284,The Simpsons,S13E01 Treehouse of Horror XII,2001,30,7.6,2175
61819,164078,tt0655138,My Three Sons,S02E08 The Ugly Duckling,1961,30,7.1,49
45521,118809,tt0609325,I Love Lucy,S05E10 Ricky's European Booking,1955,30,8.3,272
79836,218125,tt0710030,Step by Step,"S06E03 Sex, Lies and Videotape",1997,30,6.8,60
28641,70170,tt0559835,The Dick Van Dyke Show,S01E10 The Meershatz Pipe,1961,30,7.3,267
96210,284713,tt0785644,The Royle Family,S01E06 Wedding Day,1998,29,8.3,160
130236,599734,tt1035239,State Trooper,S01E03 Meeting at Julias,1956,30,7.7,10
25245,63299,tt0552861,The Daily Show,S08E60 Brendan Fraser,2003,30,7.1,19
86283,248559,tt0740946,The Virginian,S03E26 Dangerous Road,1965,75,8.2,70
20278,45291,tt0534661,CSI: Crime Scene Investigation,S04E12 Butterflied,2004,45,8.2,871
10583,20853,tt0509626,All Saints,S02E22 Shoot the Messenger,1999,44,7.7,12
25894,64087,tt0553685,Dan August,S01E25 Prognosis: Homicide,1971,60,7.2,21
68272,185912,tt0677476,Power Rangers Turbo,S01E35 Spirit of the Woods,1997,22,6.8,270
17247,36548,tt0525808,The Bill,S05E50 Tom Tiddler's Ground,1989,25,6.8,33
115411,383215,tt0924790,Pinky and the Brain,S01E04 Pinky & the Fog/Where No Mouse Has Gone Before/Cheese Roll Call,1995,21,7.8,148
87652,251871,tt0744281,Water Rats,S05E24 Family Ties,2000,44,7.5,13
79592,217635,tt0709529,Starsky and Hutch,S01E18 Omaha Tiger,1976,60,7.1,267
117956,402103,tt0950293,Detective Conan,S04E24 A Honey Cocktail Murder Case,1998,24,6.6,69
63132,167908,tt0659043,Never Mind the Buzzcocks,S02E01 Episode #2.1,1997,30,6.8,16
102094,312434,tt0827837,Highway Patrol,S02E19 Resident Officer,1957,30,7.8,66
25521,63583,tt0553147,The Daily Show,S10E112 Samuel L. Jackson,2005,30,7.7,28
122033,427804,tt0984890,The Prince of Tennis,S01E23 Tأ´jأ´! Inui jiru derakkusu,2002,22,5.2,9
23945,55648,tt0545125,The Commish,S04E20 The Kid,1995,46,8.3,73
117739,401038,tt0948400,WWE Raw,S01E23 Banzai!,1993,47,5.7,42
134626,714618,tt10608806,2006 FIFA World Cup Germany,\N,2006,90,6.6,9
101373,308615,tt0821914,The Red Green Show,S04E14 The Ski & Golf Project,1994,24,7.9,8
47761,124634,tt0615225,Jeremiah,S01E15 Ring of Truth,2002,43,6.5,66
57066,152571,tt0643518,Matinee Theatre,S02E161 Jane Eyre,1957,60,4.7,16
147758,1027265,tt11286098,Inside Edge,S02E06 Turn,2019,48,8.0,146
97860,291911,tt0795596,Big Brother,S04E13 Episode #4.13,2003,43,8.8,57
79594,217637,tt0709531,Starsky and Hutch,S03E20 Partners,1978,60,6.6,203
42063,107637,tt0598072,Hawaii Five-O,S05E13 I'm a Family Crook - Don't Shoot!,1972,50,8.0,160
6610,11698,tt0500256,Blake's 7,S01E09 Project Avalon,1978,52,7.6,231
83212,228661,tt0720700,The Thick of It,S01E03 Episode #1.3,2005,30,7.8,543
8319,16677,tt0505312,Adam-12,S02E01 Log 15: Exactly 100 Yards,1969,25,7.0,119
126655,513712,tt10163396,Botched,S05E17 Cougars and Cobras and Boobs,2019,43,7.8,8
54335,146474,tt0637393,The Lucy Show,S02E19 Ethel Merman and the Boy Scout Show,1964,30,7.4,56
33497,85352,tt0575349,The Facts of Life,S05E03 Gamma Gamma or Bust,1983,30,7.8,141
26441,65482,tt0555097,Dawson's Creek,S05E18 Cigarette Burns,2002,43,7.1,220
98492,295225,tt0800580,Jungle Jim,S01E23 Return of the Tauregs,1956,30,8.5,36
135243,735132,tt10653132,Ninjago,S01E08 Snaketastrophy,2019,55,6.3,108
64256,172370,tt0663619,The Factor,\N,2002,60,3.3,12
811,1392,tt0091906,Tatort,S02E05 Der Schnee vom vergangenen Jahr,1986,88,5.3,8
84024,234099,tt0726290,The Tomorrow People,S01E11 The Vanishing Earth: Part 2,1973,24,6.1,14
128031,544596,tt10231326,Big Hero 6: The Series,S02E10 Lie Detector,2019,22,8.6,64
33022,84320,tt0574311,The Evidence,S01E05 Yi vs. Li,2006,50,7.2,10
96759,287575,tt0789381,The Collector,S03E11 The Spy,2006,42,8.0,15
30081,74498,tt0564261,The Donna Reed Show,"S08E17 My Son, the Councilman",1966,30,8.2,16
93380,269759,tt0764392,Everybody Loves Raymond,S07E10 Marie's Vision,2002,30,8.1,433
