,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
18596,40418,tt0529736,Bonanza,S14E09 The Hidden Enemy,1972,60,7.2,95
78008,214527,tt0706360,Space: Above and Beyond,S01E09 Choice or Chance,1995,45,7.6,131
62494,165757,tt0656847,Naked City,S03E13 The Face of the Enemy,1962,60,8.4,92
46644,122190,tt0612751,It Takes a Thief,S03E01 Saturday Night in Venice,1969,60,7.2,47
48494,128091,tt0618715,Kate & Allie,S04E09 Emma's Coming Out Party,1986,30,6.0,81
6256,10852,tt0466714,Biography,\N,1995,50,7.6,93
109964,348915,tt0880040,The F.B.I. Files,S05E04 High Stakes,2002,50,6.6,27
24767,61862,tt0551419,Curb Your Enthusiasm,S05E08 The Ski Lift,2005,34,9.0,2016
9887,19750,tt0508520,Da Ali G Show,S02E01 Law,2003,29,7.6,243
73172,200859,tt0692552,SOKO Kitzbأ¼hel,S03E02 Todeslauf,2004,43,6.5,8
63434,168715,tt0659865,New York Undercover,"S02E09 Young, Beautiful and Dead",1995,44,7.9,28
79961,218437,tt0710349,Still Standing,S01E07 Still Cheating,2002,30,7.5,168
65649,177124,tt0668476,PSI Factor: Chronicles of the Paranormal,S03E08 Return,1998,45,6.3,13
133324,680751,tt10534376,Russia From Above,S01E03 Siberia's Riches,2018,42,8.2,7
31719,78337,tt0568164,ER,S03E18 You Bet Your Life,1997,47,7.6,464
44255,112914,tt0603405,Home Improvement,S05E12 'Twas the Flight Before Christmas,1995,23,8.1,256
83163,228476,tt0720512,That's So Raven,S02E08 That's So Not Raven,2003,22,8.0,118
117948,401843,tt0950014,Dangerous,S01E07 Episode #1.7,2007,46,9.5,6
120166,415654,tt0968616,Postcards from Buster,"S01E18 Winter Gold: Park City, Utah",2004,27,7.4,7
70950,193409,tt0685045,Renegade,S05E20 Born Under a Bad Sign,1997,44,6.5,38
32878,84149,tt0574139,Everybody Loves Raymond,S09E06 Boys' Therapy,2004,23,8.4,461
104530,321283,tt0840847,Dallas,S07E20 When the Bough Breaks,1984,50,7.6,112
40243,103686,tt0593905,The Guns of Will Sonnett,S02E17 A Town in Terror: Part 1,1969,22,7.5,15
5512,9276,tt0398978,Shades of Darkness,S02E01 The Demon Lover,1986,60,7.5,222
56518,151289,tt0642229,Married... with Children,S11E14 Breaking Up Is Easy to Do: Part 1,1997,22,7.7,471
88032,252875,tt0745431,"Welcome Back, Kotter",S04E19 The Gang Show,1979,30,6.7,45
76836,209944,tt0701740,"Sister, Sister",S02E03 Joey's Choice,1994,21,7.2,60
68039,185679,tt0677243,Power Rangers in Space,S01E16 Flashes of Darkonda,1998,21,8.6,399
133306,679456,tt1053145,Thomas & Friends,S03E13 Trust Thomas,1991,5,8.3,91
81295,222457,tt0714417,Tropical Heat,S03E05 White Hot,1992,49,7.1,17
78021,214540,tt0706373,Space: Above and Beyond,S01E21 Sugar Dirt,1996,45,8.3,128
69145,188924,tt0680534,Punk'd,S03E02 Episode #3.2,2004,20,7.1,28
136830,776310,tt1074073,Sin City Diaries,S01E11 Boss's Daughter,2007,25,3.6,22
23394,54345,tt0543808,Codename: Kids Next Door,S01E05 Operation: O.F.F.I.C.E./Operation: A.R.C.T.I.C.,2003,22,8.1,106
69757,190979,tt0682601,My Partner the Ghost,S01E17 Somebody Just Walked Over My Grave,1970,51,7.3,73
3057,4893,tt0260215,Myster Mocky prأ©sente,S01E01 La mأ©thode Barnol,2007,26,6.5,10
145287,975442,tt11171504,Good Trouble,S02E16 Fragility,2020,42,7.9,95
142734,920309,tt11052106,Other art,S01E01 Komar/Melamid,2019,5,9.6,27
42841,109348,tt0599799,Hercules: The Legendary Journeys,S03E18 Reign of Terror,1997,44,6.2,318
69465,189703,tt0681319,Queer as Folk,S02E12 One Degree of Brian Kinney,2002,45,7.9,204
56182,150641,tt0641579,Mannix,S04E12 Deja Vu,1970,52,7.2,96
139935,861816,tt10927594,Jack Whitehall: Travels with My Father,S03E02 Episode #3.2,2019,60,7.8,148
22473,51183,tt0540604,China Beach,S02E02 Lost and Found: Part 2,1988,47,8.1,38
108454,340582,tt0868731,Teletubbies,S01E17 Humpty Dumpty,1997,23,4.8,22
14098,30277,tt0519189,The Baron,S01E19 You Can't Win Them All,1966,49,7.8,22
107225,334047,tt0859775,The Adventures of Ozzie and Harriet,S02E19 Courage,1954,30,6.8,14
50488,134599,tt0625383,The Larry Sanders Show,S04E08 Nothing Personal,1995,30,7.6,120
17653,37413,tt0526720,Blackadder II,S01E03 Potato,1986,27,8.2,1040
72094,196694,tt0688360,Rome,S01E09 Utica,2005,53,8.2,2109
139697,856321,tt10913620,America in Color,S03E06 Small Town Life,2020,48,7.2,8
